Genus,Species,Replicate.number,Group,Habitat,Trophic.group,Ref.tg,Body.length,Min.bl,Max.bl,Ref.bl,Dry.mass,Min.dm,Max.dm,Ref.dm,Cct.prop,Min.Cprop,Max.Cprop,Cct.total,Ref.C,Nct.prop,Min.Nprop,Max.Nprop,Nct.total,Ref.N,Pct.prop,Min.Pprop,Max.Pprop,Pct.total,Ref.P,N:Pct,Min.NP,Max.NP,Ref.NP,Protein.ct,Min.prot,Max.prot,Ref.prot,Lipid.ct,Min.lip,Max.lip,Ref.lip,Respiration.rt.ind,Respiration.rt.mg,Min.resp.mg,Max.resp.mg,Temp.resp.rt,Min.temp.resp.rt,Max.temp.resp.rt,Ref.resp,N-ammonia.ex.rt.ug.ind,N-ammonia.ex.rt.ug.dm,Min.Nex.rt.ug.dm,Max.Nex.rt.ug.dm,N-ammonia.ex.rt.nmol.dm,N-ammonia.ex.rt.nmol.ind,Min.Nex.rt.nmol.ind,Max.Nex.rt.nmol.ind,Temp.Nex.rt,Min.temp.Nex.rt,Max.temp.Nex.rt,Ref.N.ex,P-phosphate.ex.rt.ug.ind,P-phosphate.ex.rt.ug.dm,Min.Pex.rt.ug.dm,Max.Pex.rt.ug.dm,P-phosphate.ex.rt.nmol.dm,P-phosphate.ex.rt.nmol.ind,Min.Pex.rt.nmol.ind,Max.Pex.rt.nmol.ind,Temp.Pex.rt,Min.temp.Pex.rt,Max.temp.Pex.rt,Ref.P.ex,N:P.ex,Min.NP.ex,Max.NP.ex,Ref.NPex
Eucalanus,attenuatus,2,Copepoda,Marine,NA,NA,NA,NA,NA,NA,"0,129",NA,NA,69,"39,4",NA,NA,"0,050826",69,"9,3",NA,NA,"0,01200",69,"0,789922481",NA,NA,"0,00102",69,"2,601,900,883",NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,"0,84",NA,NA,NA,"27,8",NA,NA,69,"0,054",NA,NA,NA,NA,NA,NA,NA,"27,8",NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,attenuatus,3,Copepoda,Marine,NA,NA,NA,NA,NA,NA,"0,131",NA,NA,69,"39,4",NA,NA,"0,051614",69,"9,3",NA,NA,"0,01218",69,"0,790076336",NA,NA,"0,00104",69,"2,601,394,203",NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,"0,97",NA,NA,NA,"27,8",NA,NA,69,"0,049",NA,NA,NA,NA,NA,NA,NA,"27,8",NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,attenuatus,4,Copepoda,Marine,NA,NA,NA,NA,NA,NA,"0,201",NA,NA,69,"39,4",NA,NA,"0,079194",69,"9,3",NA,NA,"0,01869",69,"0,790049751",NA,NA,"0,00159",69,"2,601,481,738",NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,"0,93",NA,NA,NA,"27,4",NA,NA,69,"0,086",NA,NA,NA,NA,NA,NA,NA,"27,4",NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,attenuatus,5,Copepoda,Marine,NA,NA,NA,NA,NA,NA,"0,29",NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,09","3,68",NA,NA,"28,5",NA,NA,165,"0,307",NA,NA,NA,NA,NA,NA,NA,"28,5",NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,bungii,1,Copepoda,Marine,Omnivore,78,NA,6,8,"77, 80","1,01",NA,NA,69,40,NA,NA,"0,404",69,"9,8",NA,NA,"0,09898",69,"0,6",NA,NA,"0,00606",69,"3,609,666,667",NA,NA,69,"52,5",NA,NA,153,32,NA,NA,129,"0,84",NA,NA,NA,6,NA,NA,69,"0,041",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,bungii,2,Copepoda,Marine,NA,NA,NA,NA,NA,NA,"1,01",NA,NA,69,40,NA,NA,"0,404",69,"9,801,980,198",NA,NA,"0,09900",69,"0,603960396",NA,NA,"0,00610",69,"3,586,721,311",NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,"0,75",NA,NA,NA,6,NA,NA,69,"0,074",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,bungii,3,Copepoda,Marine,NA,NA,NA,NA,NA,NA,"1,09",NA,NA,84,"49,9",NA,NA,NA,84,"7,6",NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,9",NA,NA,4,NA,NA,178,NA,NA,NA,NA,NA,"16,2",NA,NA,4,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,bungii,4,Copepoda,Marine,NA,NA,NA,NA,NA,NA,"0,56",NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,californicus,NA,Copepoda,Marine,OmniHerb,142,"6,45",NA,NA,"77, 80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51,3",NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalanus,crassus,NA,Copepoda,Marine,NA,NA,NA,NA,NA,NA,"0,36",NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62,4",NA,NA,191,NA,NA,NA,NA,"5,77",NA,NA,NA,"30,2",NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
