Submitted_name,Accepted_name,Accepted_TSN,Order,Family,Genus,Species
Neophylax rickeri,Neophylax rickeri,116054,Trichoptera,Uenoidae,Neophylax,Neophylax rickeri
Baetis bicaudatus,Baetis bicaudatus,100823,Ephemeroptera,Baetidae,Baetis,Baetis bicaudatus
Micrasema bactro,Micrasema bactro,116967,Trichoptera,Brachycentridae,Micrasema,Micrasema bactro
Heterlimnius corpulentus,Heterlimnius corpulentus,114169,Coleoptera,Elmidae,Heterlimnius,Heterlimnius corpulentus
Hesperoperla pacifica,Hesperoperla pacifica,102972,Plecoptera,Perlidae,Hesperoperla,Hesperoperla pacifica
Rhyacophila vao,Rhyacophila vao,115192,Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila vao
Nemoura,Nemoura,102526,Plecoptera,Nemouridae,Nemoura,NA
Tipula,Tipula,119037,Diptera,Tipulidae,Tipula,NA
Culoptila thoracica,Culoptila thoracica,606207,Trichoptera,Glossosomatidae,Culoptila,Culoptila thoracica
Belostoma flumineum,Belostoma flumineum,103689,Hemiptera,Belostomatidae,Belostoma,Belostoma flumineum
Libellula saturata,Libellula saturata,101916,Odonata,Libellulidae,Libellula,Libellula saturata
Leucorrhinia,Leucorrhinia,101885,Odonata,Libellulidae,Leucorrhinia,NA
Paraleptophlebia adoptiva,Paraleptophlebia adoptiva,101203,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia adoptiva
Coenagrion resolutum,Coenagrion resolutum,102156,Odonata,Coenagrionidae,Coenagrion,Coenagrion resolutum
Caenis amica,Caenis amica,101480,Ephemeroptera,Caenidae,Caenis,Caenis amica
Platambus,Platambus,728241,Coleoptera,Dytiscidae,Platambus,NA
Calopteryx maculata,Calopteryx maculata,102055,Odonata,Calopterygidae,Calopteryx,Calopteryx maculata
Dolophilodes,Dolophilodes,115319,Trichoptera,Philopotamidae,Dolophilodes,NA
Gomphus graslinellus,Gomphus graslinellus,101700,Odonata,Gomphidae,Gomphus,Gomphus graslinellus
Acentrella insignificans,Acentrella insignificans,568572,Ephemeroptera,Baetidae,Acentrella,Acentrella insignificans
Neophylax,Neophylax,116046,Trichoptera,Uenoidae,Neophylax,NA
Lethocerus americanus,Lethocerus americanus,103709,Hemiptera,Belostomatidae,Lethocerus,Lethocerus americanus
Endochironomus,Endochironomus,129470,Diptera,Chironomidae,Endochironomus,NA
Capnia confusa,Capnia confusa,102702,Plecoptera,Capniidae,Capnia,Capnia confusa
Crenitis,Crenitis,113220,Coleoptera,Hydrophilidae,Crenitis,NA
Zapada cinctipes,Zapada cinctipes,102594,Plecoptera,Nemouridae,Zapada,Zapada cinctipes
Apatania,Apatania,115935,Trichoptera,Apataniidae,Apatania,NA
Oecetis avara,Oecetis avara,116608,Trichoptera,Leptoceridae,Oecetis,Oecetis avara
Corynoneura,Corynoneura,128563,Diptera,Chironomidae,Corynoneura,NA
Gerris,Gerris,103829,Hemiptera,Gerridae,Gerris,NA
Haliplus,Haliplus,111858,Coleoptera,Haliplidae,Haliplus,NA
Hydroptila jackmanni,Hydroptila jackmanni,606531,Trichoptera,Hydroptilidae,Hydroptila,Hydroptila jackmanni
Sympetrum costiferum,Sympetrum costiferum,101980,Odonata,Libellulidae,Sympetrum,Sympetrum costiferum
Enallagma praevarum,Enallagma praevarum,102127,Odonata,Coenagrionidae,Enallagma,Enallagma praevarum
Cheumatopsyche campyla,Cheumatopsyche campyla,115409,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche campyla
Heterlimnius,Heterlimnius,114167,Coleoptera,Elmidae,Heterlimnius,NA
Hemerodromia empiformis,Hemerodromia empiformis,136333,Diptera,Empididae,Hemerodromia,Hemerodromia empiformis
Enallagma antennatum,Enallagma antennatum,102103,Odonata,Coenagrionidae,Enallagma,Enallagma antennatum
Callibaetis pictus,Callibaetis pictus,100927,Ephemeroptera,Baetidae,Callibaetis,Callibaetis pictus
Ecdyonurus,Ecdyonurus,697960,Ephemeroptera,Heptageniidae,Ecdyonurus,NA
Amphinemura banksi,Amphinemura banksi,102546,Plecoptera,Nemouridae,Amphinemura,Amphinemura banksi
Oligophlebodes minutus,Oligophlebodes minutus,116041,Trichoptera,Uenoidae,Oligophlebodes,Oligophlebodes minutus
Lethocerus,Lethocerus,103699,Hemiptera,Belostomatidae,Lethocerus,NA
Atrichopogon,Atrichopogon,127113,Diptera,Ceratopogonidae,Atrichopogon,NA
Enallagma carunculatum,Enallagma carunculatum,102123,Odonata,Coenagrionidae,Enallagma,Enallagma carunculatum
Laccobius,Laccobius,112858,Coleoptera,Hydrophilidae,Laccobius,NA
Heptagenia,Heptagenia,100602,Ephemeroptera,Heptageniidae,Heptagenia,NA
Parabezzia,Parabezzia,127591,Diptera,Ceratopogonidae,Parabezzia,NA
Agapetus,Agapetus,117121,Trichoptera,Glossosomatidae,Agapetus,NA
Prosimulium mixtum,Prosimulium mixtum,126736,Diptera,Simuliidae,Prosimulium,Prosimulium mixtum
Neoporus dimidiatus,Neoporus dimidiatus,728416,Coleoptera,Dytiscidae,Neoporus,Neoporus dimidiatus
Microchironomus,Microchironomus,129532,Diptera,Chironomidae,Microchironomus,NA
Amphiagrion abbreviatum,Amphiagrion abbreviatum,102094,Odonata,Coenagrionidae,Amphiagrion,Amphiagrion abbreviatum
Ptilostomis,Ptilostomis,115868,Trichoptera,Phryganeidae,Ptilostomis,NA
Prosimulium,Prosimulium,126703,Diptera,Simuliidae,Prosimulium,NA
Colymbetes exaratus,Colymbetes exaratus,112380,Coleoptera,Dytiscidae,Colymbetes,Colymbetes exaratus
Prostoia besametsa,Prostoia besametsa,102585,Plecoptera,Nemouridae,Prostoia,Prostoia besametsa
Heleniella,Heleniella,128730,Diptera,Chironomidae,Heleniella,NA
Tvetenia,Tvetenia,129197,Diptera,Chironomidae,Tvetenia,NA
Aeshna palmata,Aeshna palmata,592674,Odonata,Aeshnidae,Aeshna,Aeshna palmata
Glossosoma,Glossosoma,117159,Trichoptera,Glossosomatidae,Glossosoma,NA
Ophiogomphus,Ophiogomphus,101738,Odonata,Gomphidae,Ophiogomphus,NA
Isoperla phalerata,Isoperla phalerata,103027,Plecoptera,Perlodidae,Isoperla,Isoperla phalerata
Enallagma civile,Enallagma civile,102122,Odonata,Coenagrionidae,Enallagma,Enallagma civile
Hesperoperla,Hesperoperla,102971,Plecoptera,Perlidae,Hesperoperla,NA
Hydroporus fuscipennis,Hydroporus fuscipennis,112476,Coleoptera,Dytiscidae,Hydroporus,Hydroporus fuscipennis
Hydroporus notabilis,Hydroporus notabilis,112405,Coleoptera,Dytiscidae,Hydroporus,Hydroporus notabilis
Hydroporus occidentalis,Hydroporus occidentalis,112396,Coleoptera,Dytiscidae,Hydroporus,Hydroporus occidentalis
Archilestes grandis,Archilestes grandis,102060,Odonata,Lestidae,Archilestes,Archilestes grandis
Ptilostomis ocellifera,Ptilostomis ocellifera,115873,Trichoptera,Phryganeidae,Ptilostomis,Ptilostomis ocellifera
Pseudochironomus,Pseudochironomus,129851,Diptera,Chironomidae,Pseudochironomus,NA
Epitheca spinigera,Epitheca spinigera,185987,Odonata,Corduliidae,Epitheca,Epitheca spinigera
Mayatrichia,Mayatrichia,115811,Trichoptera,Hydroptilidae,Mayatrichia,NA
Parapoynx,Parapoynx,117714,Lepidoptera,Crambidae,Parapoynx,NA
Antocha monticola,Antocha monticola,119660,Diptera,Tipulidae,Antocha,Antocha monticola
Scatella,Scatella,147568,Diptera,Ephydridae,Scatella,NA
Culoptila,Culoptila,115236,Trichoptera,Glossosomatidae,Culoptila,NA
Hygrotus,Hygrotus,112200,Coleoptera,Dytiscidae,Hygrotus,NA
Limnophora,Limnophora,150730,Diptera,Muscidae,Limnophora,NA
Oecetis,Oecetis,116607,Trichoptera,Leptoceridae,Oecetis,NA
Paraleptophlebia debilis,Paraleptophlebia debilis,101193,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia debilis
Rhyacophila,Rhyacophila,115097,Trichoptera,Rhyacophilidae,Rhyacophila,NA
Limnephilus rhombicus,Limnephilus rhombicus,116077,Trichoptera,Limnephilidae,Limnephilus,Limnephilus rhombicus
Hydropsyche oslari,Hydropsyche oslari,115490,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche oslari
Callibaetis fluctuans,Callibaetis fluctuans,100920,Ephemeroptera,Baetidae,Callibaetis,Callibaetis fluctuans
Culicoides,Culicoides,127340,Diptera,Ceratopogonidae,Culicoides,NA
Bryophaenocladius,Bryophaenocladius,128488,Diptera,Chironomidae,Bryophaenocladius,NA
Leucotrichia,Leucotrichia,115630,Trichoptera,Hydroptilidae,Leucotrichia,NA
Argia plana,Argia plana,102151,Odonata,Coenagrionidae,Argia,Argia plana
Parachironomus,Parachironomus,129564,Diptera,Chironomidae,Parachironomus,NA
Paracloeodes,Paracloeodes,100899,Ephemeroptera,Baetidae,Paracloeodes,NA
Helicopsyche borealis,Helicopsyche borealis,117020,Trichoptera,Helicopsychidae,Helicopsyche,Helicopsyche borealis
Ephemerella excrucians,Ephemerella excrucians,101276,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella excrucians
Oecetis inconspicua,Oecetis inconspicua,116613,Trichoptera,Leptoceridae,Oecetis,Oecetis inconspicua
Eucapnopsis brevicauda,Eucapnopsis brevicauda,102786,Plecoptera,Capniidae,Eucapnopsis,Eucapnopsis brevicauda
Rhionaeschna,Rhionaeschna,721973,Odonata,Aeshnidae,Rhionaeschna,NA
